Implementing Agency,Lead Organization,Org Type,District,Sub Dstrict,Village,Admin Level 5,Sector/Cluster,Sub Sector,Status,Activity Details,Start Date,End Date,Total Beneficiaries Reached (HOUSEHOLD),Total Beneficiaries Planned (HOUSEHOLD),Primary Beneficiary Type,# of Primary Beneficiaries,Activity Description,Material Provided
PMI,,Red Cross/Red Crescent,Palu,Palu Selatan,Petobo,Camp. Pengungsian,WASH,WASH,Completed,Distribution,Oct-17-2018,Oct-17-2018,,,litres,15000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Palu,Palu Selatan,Tatura Selatan,Tinggede,WASH,WASH,Completed,Distribution,Oct-21-2018,Oct-21-2018,,,litres,5000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Palu,Palu Selatan,Birobuli Utara,Jl. Garuda,WASH,WASH,Completed,Distribution,Oct-21-2018,Oct-21-2018,,,litres,5000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Palu,Palu Selatan,Petobo,Petobo,WASH,WASH,Completed,Distribution,Oct-21-2018,Oct-21-2018,,,litres,5000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Palu,Palu Selatan,Petobo,Camp. Petobo,WASH,WASH,Completed,Distribution,Oct-22-2018,Oct-22-2018,,,litres,50000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Palu,Palu Selatan,Petobo,Camp Petobo,WASH,WASH,Completed,Distribution,Oct-18-2018,Oct-18-2018,,,litres,7000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Palu,Palu Selatan,Birobuli Utara,Bandara Mutiara,WASH,WASH,Completed,Distribution,Oct-19-2018,Oct-19-2018,,,litres,10000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Palu,Palu Selatan,Petobo,Camp Petobo,WASH,WASH,Completed,Distribution,Oct-20-2018,Oct-20-2018,,,litres,15000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Palu,Palu Selatan,Petobo,Camp Petobo,WASH,WASH,Completed,Distribution,Oct-23-2018,Oct-23-2018,,,litres,35000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Palu,Palu Selatan,Birobuli Utara,Jl. Garuda,WASH,WASH,Completed,Distribution,Oct-23-2018,Oct-23-2018,,,litres,2500,,clean water (litres)
PMI,,Red Cross/Red Crescent,Palu,Palu Selatan,Petobo,Petobo,WASH,WASH,Completed,Distribution,Oct-24-2018,Oct-24-2018,,,litres,20000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Palu,Palu Selatan,Kel. Petobo,Camp. Pmi Petobo,WASH,WASH,Completed,Distribution,Oct-25-2018,Oct-25-2018,,,litres,25000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Palu,Palu Selatan,Birobuli Selatan,Lorong Satelit,WASH,WASH,Completed,Distribution,Oct-20-2018,Oct-20-2018,,,items,46,,jerry can
PMI,,Red Cross/Red Crescent,Palu,Palu Timur,Lolu Selatan,Markas Pmi Provinsi,Health,Health,Completed,Distribution,Oct-01-2018,Oct-01-2018,,,items,225,,body bag
PMI,,Red Cross/Red Crescent,Palu,Palu Timur,Lolu Selatan,Markas Pmi Provinsi,Health,Health,Completed,Distribution,Oct-02-2018,Oct-02-2018,,,items,209,,body bag
PMI,,Red Cross/Red Crescent,Palu,Palu Timur,Lolu Selatan,Markas Pmi Provinsi,Health,Health,Completed,Distribution,Oct-03-2018,Oct-03-2018,,,items,5,,body bag
PMI,,Red Cross/Red Crescent,Palu,Palu Timur,Lolu Selatan,Markas Pmi Provinsi,Health,Health,Completed,Distribution,Oct-04-2018,Oct-04-2018,,,items,10,,body bag
PMI,,Red Cross/Red Crescent,Palu,Palu Timur,Lolu Selatan,Markas Pmi Provinsi,Health,Health,Completed,Distribution,Oct-06-2018,Oct-06-2018,,,items,1,,body bag
PMI,,Red Cross/Red Crescent,Palu,Palu Timur,Lolu Selatan,Tj Pesik,Health,Health,Completed,Distribution,Oct-14-2018,Oct-14-2018,,,items,7,,hygiene kit
PMI,,Red Cross/Red Crescent,Palu,Palu Timur,Lolu Selatan,Jl Tururuka,Health,Health,Completed,Distribution,Oct-15-2018,Oct-15-2018,,,items,31,,hygiene kit
PMI,,Red Cross/Red Crescent,Palu,Palu Timur,Lolu Selatan,"Jl. Tanjung 1, Lorong Karoya",Health,Health,Completed,Distribution,Oct-15-2018,Oct-15-2018,,,items,32,,hygiene kit
PMI,,Red Cross/Red Crescent,Palu,Palu Timur,Lolu Selatan,"Jl. Tanjung 1, Lorong 1",Health,Health,Completed,Distribution,Oct-15-2018,Oct-15-2018,,,items,15,,hygiene kit
PMI,,Red Cross/Red Crescent,Palu,Palu Timur,Lolu Selatan,Markas Pmi Provinsi,Health,Health,Completed,Mobile clinic,Oct-01-2018,Oct-01-2018,,,persons,21,,mobile clinic patients
PMI,,Red Cross/Red Crescent,Palu,Palu Timur,Lolu Selatan,Markas Pmi Provinsi,Health,Health,Completed,Mobile clinic,Oct-02-2018,Oct-02-2018,,,persons,67,,mobile clinic patients
PMI,,Red Cross/Red Crescent,Palu,Palu Timur,Lolu Selatan,Markas Pmi Provinsi,Health,Health,Completed,Mobile clinic,Oct-03-2018,Oct-03-2018,,,persons,69,,mobile clinic patients
PMI,,Red Cross/Red Crescent,Palu,Palu Timur,Lolu Selatan,Markas Pmi Provinsi,Health,Health,Completed,Mobile clinic,Oct-05-2018,Oct-05-2018,,,persons,113,,mobile clinic patients
PMI,,Red Cross/Red Crescent,Palu,Palu Timur,Lolu Selatan,Markas Pmi Provinsi,Health,Health,Completed,Mobile clinic,Oct-06-2018,Oct-06-2018,,,persons,53,,mobile clinic patients
PMI,,Red Cross/Red Crescent,Palu,Palu Timur,Lolu Selatan,Markas Pmi Provinsi,Health,Health,Completed,Mobile clinic,Oct-07-2018,Oct-07-2018,,,persons,85,,mobile clinic patients
PMI,,Red Cross/Red Crescent,Palu,Palu Timur,Lolu Selatan,Markas Pmi Provinsi,Health,Health,Completed,Mobile clinic,Oct-08-2018,Oct-08-2018,,,persons,53,,mobile clinic patients
PMI,,Red Cross/Red Crescent,Palu,Palu Timur,Lolu Selatan,Markas Pmi Provinsi,Health,Health,Completed,Mobile clinic,Oct-09-2018,Oct-09-2018,,,persons,86,,mobile clinic patients
PMI,,Red Cross/Red Crescent,Palu,Palu Timur,Lolu Selatan,Markas Pmi Provinsi,Health,Health,Completed,Mobile clinic,Oct-10-2018,Oct-10-2018,,,persons,58,,mobile clinic patients
PMI,,Red Cross/Red Crescent,Palu,Palu Timur,Lolu Selatan,Markas Pmi Provinsi,Health,Health,Completed,Mobile clinic,Oct-11-2018,Oct-11-2018,,,persons,49,,mobile clinic patients
PMI,,Red Cross/Red Crescent,Palu,Palu Timur,Lolu Selatan,Markas Pmi Provinsi,Health,Health,Completed,Mobile clinic,Oct-12-2018,Oct-12-2018,,,persons,82,,mobile clinic patients
PMI,,Red Cross/Red Crescent,Palu,Palu Timur,Lolu Selatan,Markas Pmi Provinsi,Health,Health,Completed,Mobile clinic,Oct-13-2018,Oct-13-2018,,,persons,110,,mobile clinic patients
PMI,,Red Cross/Red Crescent,Palu,Palu Timur,Lolu Selatan,Markas Pmi Provinsi,Health,Health,Completed,Mobile clinic,Oct-14-2018,Oct-14-2018,,,persons,106,,mobile clinic patients
PMI,,Red Cross/Red Crescent,Palu,Palu Timur,Lolu Selatan,Markas Pmi Provinsi,Health,Health,Completed,Mobile clinic,Oct-15-2018,Oct-15-2018,,,persons,60,,mobile clinic patients
PMI,,Red Cross/Red Crescent,Palu,Palu Timur,Lolu Selatan,Markas Pmi Provinsi,Health,Health,Completed,Mobile clinic,Oct-16-2018,Oct-16-2018,,,persons,68,,mobile clinic patients
PMI,,Red Cross/Red Crescent,Palu,Palu Timur,Lolu Selatan,Markas Pmi Provinsi,Health,Health,Completed,Mobile clinic,Oct-17-2018,Oct-17-2018,,,persons,80,,mobile clinic patients
PMI,,Red Cross/Red Crescent,Palu,Palu Timur,Lolu Selatan,Markas Pmi Provinsi,Health,Health,Completed,Mobile clinic,Oct-18-2018,Oct-18-2018,,,persons,46,,mobile clinic patients
PMI,,Red Cross/Red Crescent,Palu,Palu Timur,Lolu Selatan,Markas Pmi Provinsi,Health,Health,Completed,Mobile clinic,Oct-19-2018,Oct-19-2018,,,persons,43,,mobile clinic patients
PMI,,Red Cross/Red Crescent,Palu,Palu Timur,Lolu Selatan,Markas Pmi Provinsi,Health,Health,Completed,Mobile clinic,Oct-20-2018,Oct-20-2018,,,persons,39,,mobile clinic patients
PMI,,Red Cross/Red Crescent,Palu,Palu Timur,Lolu Selatan,Markas Pmi Provinsi,Health,Health,Completed,Mobile clinic,Oct-21-2018,Oct-21-2018,,,persons,19,,mobile clinic patients
PMI,,Red Cross/Red Crescent,Palu,Palu Timur,Lolu Selatan,Markas Pmi Provinsi,Health,Health,Completed,Mobile clinic,Oct-22-2018,Oct-22-2018,,,persons,33,,mobile clinic patients
PMI,,Red Cross/Red Crescent,Palu,Palu Timur,Lolu Selatan,Markas Pmi Provinsi,Health,Health,Completed,Mobile clinic,Oct-23-2018,Oct-23-2018,,,persons,40,,mobile clinic patients
PMI,,Red Cross/Red Crescent,Palu,Palu Timur,Lolu Selatan,Markas Pmi Provinsi,Health,Health,Completed,Mobile clinic,Oct-24-2018,Oct-24-2018,,,persons,21,,mobile clinic patients
PMI,,Red Cross/Red Crescent,Palu,Palu Timur,Lolu Selatan,Markas Pmi Provinsi,Health,Health,Completed,Mobile clinic,Oct-25-2018,Oct-25-2018,,,persons,24,,mobile clinic patients
PMI,,Red Cross/Red Crescent,Palu,Palu Timur,Besusu Barat,Jl. Undata & Jl. Cutmutia,Health,Health,Completed,Distribution,Oct-24-2018,Oct-24-2018,,,items,68,,mosquito net
PMI,,Red Cross/Red Crescent,Palu,Palu Timur,Lolu Selatan,Kamp. Pengungsi Lapangan Walikota,WASH,WASH,Completed,Distribution,Oct-02-2018,Oct-02-2018,,,litres,5000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Palu,Palu Timur,Lolu Selatan,Kamp. Pengungsian Rri,WASH,WASH,Completed,Distribution,Oct-03-2018,Oct-03-2018,,,litres,1000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Palu,Palu Timur,Lolu Selatan,Kamp. Pengungsi Ongka Malino,WASH,WASH,Completed,Distribution,Oct-03-2018,Oct-03-2018,,,litres,4000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Palu,Palu Timur,Lolu Selatan,Posko Pmi Provinsi,WASH,WASH,Completed,Distribution,Oct-05-2018,Oct-05-2018,,,litres,5000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Palu,Palu Timur,,Btn Lagarutu,WASH,WASH,Completed,Distribution,Oct-06-2018,Oct-06-2018,,,litres,1000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Palu,Palu Timur,Lolu Selatan,Markas Pmi Provinsi,WASH,WASH,Completed,Distribution,Oct-02-2018,Oct-02-2018,,,items,4,,jerry can
PMI,,Red Cross/Red Crescent,Palu,Palu Timur,Lolu Selatan,Markas Pmi Provinsi,WASH,WASH,Completed,Distribution,Oct-03-2018,Oct-03-2018,,,items,24,,jerry can
PMI,,Red Cross/Red Crescent,Palu,Palu Timur,Lolu Selatan,Markas Pmi Provinsi,WASH,WASH,Completed,Distribution,Oct-04-2018,Oct-04-2018,,,items,12,,jerry can
PMI,,Red Cross/Red Crescent,Palu,Palu Timur,Besusu Tengah,Kadata Indah,WASH,WASH,Completed,Distribution,Oct-20-2018,Oct-20-2018,,,items,33,,jerry can
PMI,,Red Cross/Red Crescent,Palu,Palu Utara,Kayumalue Ngapa,,Health,Health,Completed,Distribution,Oct-15-2018,Oct-15-2018,,,items,508,,hygiene kit
PMI,,Red Cross/Red Crescent,Palu,Palu Utara,Mamboro,Rs. Mamboro,Health,Health,Completed,Mobile clinic,Oct-04-2018,Oct-04-2018,,,persons,17,,mobile clinic patients
PMI,,Red Cross/Red Crescent,Palu,Palu Utara,Mamboro,Mamboro,WASH,WASH,Completed,Distribution,Oct-09-2018,Oct-09-2018,,,litres,1100,,clean water (litres)
PMI,,Red Cross/Red Crescent,Palu,Palu Utara,Kayumalue Pajeko,Kayumalue Pajeko,WASH,WASH,Completed,Distribution,Oct-09-2018,Oct-09-2018,,,litres,1900,,clean water (litres)
PMI,,Red Cross/Red Crescent,Palu,Palu Utara,Mamboro,Kantor Camat Palu Utara,WASH,WASH,Completed,Distribution,Oct-11-2018,Oct-11-2018,,,litres,500,,clean water (litres)
PMI,,Red Cross/Red Crescent,Palu,Palu Utara,Taipa,Rt 01/rw.05,WASH,WASH,Completed,Distribution,Oct-11-2018,Oct-11-2018,,,litres,4000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Palu,Pamona Barat,Taipa,Rw. 5,WASH,WASH,Completed,Distribution,Oct-09-2018,Oct-09-2018,,,litres,2000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Sigi,Sigi Biromaru,Jono Oge,Rumah Kepala Desa,Health,Health,Completed,Distribution,Oct-10-2018,Oct-10-2018,,,items,22,,hygiene kit
PMI,,Red Cross/Red Crescent,Sigi,Sigi Biromaru,Bora,Rumah Kepala Desa,Health,Health,Completed,Distribution,Oct-10-2018,Oct-10-2018,,,items,10,,hygiene kit
PMI,,Red Cross/Red Crescent,Sigi,Sigi Biromaru,Sidondo I,Sidondo I,Health,Health,Completed,Distribution,Oct-12-2018,Oct-12-2018,,,items,3,,hygiene kit
PMI,,Red Cross/Red Crescent,Sigi,Sigi Biromaru,Pombewe,Tempat Pengungsian,Health,Health,Completed,Mobile clinic,Oct-10-2018,Oct-10-2018,,,persons,18,,mobile clinic patients
PMI,,Red Cross/Red Crescent,Sigi,Sigi Biromaru,Sidondo Ii,Tempat Pengungsian,Health,Health,Completed,Mobile clinic,Oct-12-2018,Oct-12-2018,,,persons,80,,mobile clinic patients
PMI,,Red Cross/Red Crescent,Sigi,Sigi Biromaru,Jono Oge,Rumah Kepala Desa,Health,Health,Completed,Distribution,Oct-10-2018,Oct-10-2018,,,items,25,,mosquito net
PMI,,Red Cross/Red Crescent,Sigi,Sigi Biromaru,Bora,Rumah Kepala Desa,Health,Health,Completed,Distribution,Oct-10-2018,Oct-10-2018,,,items,10,,mosquito net
PMI,,Red Cross/Red Crescent,Sigi,Sigi Biromaru,Lolu,Lolu,Health,Health,Completed,PSS,Oct-24-2018,Oct-24-2018,,,persons,55,,PSS for persons
PMI,,Red Cross/Red Crescent,Sigi,Sigi Biromaru,Jono Oge,Jono Oge,Health,Health,Completed,PSS,Oct-09-2018,Oct-09-2018,,,persons,21,,PSS for persons
PMI,,Red Cross/Red Crescent,Sigi,Sigi Biromaru,Lolu,Pos 6 Desa Lolu,Health,Health,Completed,PSS,Oct-16-2018,Oct-16-2018,,,persons,100,,PSS for persons
PMI,,Red Cross/Red Crescent,Sigi,Sigi Biromaru,Lolu,Pos 6 Desa Lolu,Health,Health,Completed,PSS,Oct-18-2018,Oct-18-2018,,,persons,31,,PSS for persons
PMI,,Red Cross/Red Crescent,Sigi,Sigi Biromaru,Sidera,Sidera,WASH,WASH,Completed,Distribution,Oct-07-2018,Oct-07-2018,,,litres,17000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Sigi,Sigi Biromaru,Lolu,Lolu,WASH,WASH,Completed,Distribution,Oct-08-2018,Oct-08-2018,,,litres,12000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Sigi,Sigi Biromaru,Sidera,Sidera,WASH,WASH,Completed,Distribution,Oct-10-2018,Oct-10-2018,,,litres,25000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Sigi,Sigi Biromaru,Sidera,Sidera,WASH,WASH,Completed,Distribution,Oct-11-2018,Oct-11-2018,,,litres,20000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Sigi,Sigi Biromaru,Sidera,Sidera,WASH,WASH,Completed,Distribution,Oct-12-2018,Oct-12-2018,,,litres,7000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Sigi,Sigi Biromaru,Lolu,Lolu,WASH,WASH,Completed,Distribution,Oct-12-2018,Oct-12-2018,,,litres,7000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Sigi,Sigi Biromaru,Sidera,Sidera,WASH,WASH,Completed,Distribution,Oct-12-2018,Oct-12-2018,,,litres,5000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Sigi,Sigi Biromaru,Lolu,Lolu,WASH,WASH,Completed,Distribution,Oct-12-2018,Oct-12-2018,,,litres,10000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Sigi,Sigi Biromaru,Sidera,Sidera,WASH,WASH,Completed,Distribution,Oct-13-2018,Oct-13-2018,,,litres,5000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Sigi,Sigi Biromaru,Mpanau,Mpanau,WASH,WASH,Completed,Distribution,Oct-13-2018,Oct-13-2018,,,litres,3000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Sigi,Sigi Biromaru,Lolu,Lolu,WASH,WASH,Completed,Distribution,Oct-13-2018,Oct-13-2018,,,litres,5000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Sigi,Sigi Biromaru,Lolu,Lolu,WASH,WASH,Completed,Distribution,Oct-14-2018,Oct-14-2018,,,litres,5000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Sigi,Sigi Biromaru,Sidera,Sidera,WASH,WASH,Completed,Distribution,Oct-14-2018,Oct-14-2018,,,litres,5000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Sigi,Sigi Biromaru,Sidera,Sidera,WASH,WASH,Completed,Distribution,Oct-15-2018,Oct-15-2018,,,litres,5000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Sigi,Sigi Biromaru,Sidera,Sidera,WASH,WASH,Completed,Distribution,Oct-16-2018,Oct-16-2018,,,litres,5000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Sigi,Sigi Biromaru,Sidera,Sidera,WASH,WASH,Completed,Distribution,Oct-16-2018,Oct-16-2018,,,litres,5000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Sigi,Sigi Biromaru,Sidera,Sidera,WASH,WASH,Completed,Distribution,Oct-18-2018,Oct-18-2018,,,litres,5000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Sigi,Sigi Biromaru,Lolu,Lolu,WASH,WASH,Completed,Distribution,Oct-19-2018,Oct-19-2018,,,litres,10000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Sigi,Sigi Biromaru,Pombewe,Pombewe,WASH,WASH,Completed,Distribution,Oct-19-2018,Oct-19-2018,,,litres,5000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Sigi,Sigi Biromaru,Lolu,Lolu,WASH,WASH,Completed,Distribution,Oct-20-2018,Oct-20-2018,,,litres,20000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Sigi,Sigi Biromaru,Sidera,Sidera,WASH,WASH,Completed,Distribution,Oct-22-2018,Oct-22-2018,,,litres,5000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Sigi,Sigi Biromaru,Lolu,Lolu,WASH,WASH,Completed,Distribution,Oct-22-2018,Oct-22-2018,,,litres,10000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Sigi,Sigi Biromaru,Pombewe,Pombewe,WASH,WASH,Completed,Distribution,Oct-22-2018,Oct-22-2018,,,litres,10000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Sigi,Sigi Biromaru,Sidera,Sidera,WASH,WASH,Completed,Distribution,Oct-17-2018,Oct-17-2018,,,litres,10000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Sigi,Sigi Biromaru,Jono Oge,Jono Oge,WASH,WASH,Completed,Distribution,Oct-17-2018,Oct-17-2018,,,litres,10000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Sigi,Sigi Biromaru,Pombewe,Pombewe,WASH,WASH,Completed,Distribution,Oct-23-2018,Oct-23-2018,,,litres,10000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Sigi,Sigi Biromaru,Sidera,Sidera,WASH,WASH,Completed,Distribution,Oct-23-2018,Oct-23-2018,,,litres,10000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Sigi,Sigi Biromaru,Lolu,Desa Lolu,WASH,WASH,Completed,Distribution,Oct-23-2018,Oct-23-2018,,,litres,10000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Sigi,Sigi Biromaru,Jono Oge,Jono Oge,WASH,WASH,Completed,Distribution,Oct-23-2018,Oct-23-2018,,,litres,10000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Sigi,Sigi Biromaru,Sidera,Sidera,WASH,WASH,Completed,Distribution,Oct-24-2018,Oct-24-2018,,,litres,5000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Sigi,Sigi Biromaru,Jono Oge,Jono Oge,WASH,WASH,Completed,Distribution,Oct-24-2018,Oct-24-2018,,,litres,15000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Donggala,Sindue,Lero,Jl. Trans Sulawesi,WASH,WASH,Completed,Distribution,Oct-11-2018,Oct-11-2018,,,litres,1600,,clean water (litres)
PMI,,Red Cross/Red Crescent,Donggala,Sindue,Lero,Dusun Nosimpotove,WASH,WASH,Completed,Distribution,Oct-11-2018,Oct-11-2018,,,litres,3800,,clean water (litres)
PMI,,Red Cross/Red Crescent,Donggala,Sindue,Toaya,Posko Pmi,WASH,WASH,Completed,Distribution,Oct-11-2018,Oct-11-2018,,,litres,1600,,clean water (litres)
PMI,,Red Cross/Red Crescent,Donggala,Sindue,Lero Tatari,Smp 2 Lero,WASH,WASH,Completed,Distribution,Oct-12-2018,Oct-12-2018,,,litres,2500,,clean water (litres)
PMI,,Red Cross/Red Crescent,Donggala,Sindue,Lero Tatari,Lapangan Sanggola,WASH,WASH,Completed,Distribution,Oct-12-2018,Oct-12-2018,,,litres,2500,,clean water (litres)
PMI,,Red Cross/Red Crescent,Donggala,Sirenja,Tompe,Lapangan Balaintuma,Health,Health,Completed,Fixed clinic,Oct-17-2018,Oct-17-2018,,,persons,52,,fixed clinic patients
PMI,,Red Cross/Red Crescent,Donggala,Sirenja,Tompe,Lapangan Balaintuma,Health,Health,Completed,Fixed clinic,Oct-18-2018,Oct-18-2018,,,persons,63,,fixed clinic patients
PMI,,Red Cross/Red Crescent,Donggala,Sirenja,Tompe,Lapangan Balaintuma,Health,Health,Completed,Fixed clinic,Oct-19-2018,Oct-19-2018,,,persons,42,,fixed clinic patients
PMI,,Red Cross/Red Crescent,Donggala,Sirenja,Tompe,Lapangan Balaintuma,Health,Health,Completed,Fixed clinic,Oct-20-2018,Oct-20-2018,,,persons,50,,fixed clinic patients
PMI,,Red Cross/Red Crescent,Donggala,Sirenja,Tompe,Lapangan Balaintuma,Health,Health,Completed,Fixed clinic,Oct-21-2018,Oct-21-2018,,,persons,51,,fixed clinic patients
PMI,,Red Cross/Red Crescent,Donggala,Sirenja,Tompe,Lapangan Balaintuma,Health,Health,Completed,Fixed clinic,Oct-22-2018,Oct-22-2018,,,persons,75,,fixed clinic patients
PMI,,Red Cross/Red Crescent,Donggala,Sirenja,Tompe,Puskesmas Tompe,Health,Health,Completed,Fixed clinic,Oct-23-2018,Oct-23-2018,,,persons,55,,fixed clinic patients
PMI,,Red Cross/Red Crescent,Donggala,Sirenja,Tanjung Padang,Posko,Health,Health,Completed,Mobile clinic,Oct-16-2018,Oct-16-2018,,,persons,26,,mobile clinic patients
PMI,,Red Cross/Red Crescent,Donggala,Sirenja,Sipi,Dusun 4 Dan 5,Health,Health,Completed,Mobile clinic,Oct-24-2018,Oct-24-2018,,,persons,110,,mobile clinic patients
PMI,,Red Cross/Red Crescent,Donggala,Sirenja,Sibado,Mesjid Sibado & Lokasi Lapangan Pengungsian,Health,Health,Completed,PSS,Oct-08-2018,Oct-08-2018,,,persons,35,,PSS for persons
PMI,,Red Cross/Red Crescent,Donggala,Sirenja,Sibado,Sibado,Health,Health,Completed,PSS,Oct-10-2018,Oct-10-2018,,,persons,17,,PSS for persons
PMI,,Red Cross/Red Crescent,Donggala,Sirenja,Balentuma,Pengungsian,Health,Health,Completed,PSS,Oct-15-2018,Oct-15-2018,,,persons,85,,PSS for persons
PMI,,Red Cross/Red Crescent,Donggala,Sirenja,Sipi,Sd Sipi,Health,Health,Completed,PSS,Oct-22-2018,Oct-22-2018,,,persons,20,,PSS for persons
PMI,,Red Cross/Red Crescent,Donggala,Sirenja,Sipi,Sd Sipi,Health,Health,Completed,PSS,Oct-22-2018,Oct-22-2018,,,persons,76,,PSS for persons
PMI,,Red Cross/Red Crescent,Donggala,Sirenja,Sipi,Sipi,Health,Health,Completed,PSS,Oct-24-2018,Oct-24-2018,,,persons,75,,PSS for persons
PMI,,Red Cross/Red Crescent,Donggala,Sirenja,Lende Tovea,Dusun 3,Health,Health,Completed,PSS,Oct-25-2018,Oct-25-2018,,,persons,69,,PSS for persons
PMI,,Red Cross/Red Crescent,Donggala,Sirenja,,Polsek Sirenja,WASH,WASH,Completed,Distribution,Oct-24-2018,Oct-24-2018,,,litres,3000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Donggala,Sirenja,,Pos Pengungsian Kantor Camat Sirenja,WASH,WASH,Completed,Distribution,Oct-24-2018,Oct-24-2018,,,litres,2000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Donggala,Sirenja,Tompe,Tompe,WASH,WASH,Completed,Distribution,Oct-24-2018,Oct-24-2018,,,litres,5000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Donggala,Sirenja,Tompe,Dusun 3,WASH,WASH,Completed,Distribution,Oct-25-2018,Oct-25-2018,,,litres,10000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Sigi,Sirenja,Jono Oge,Tempat Pengungsian,Health,Health,Completed,Mobile clinic,Oct-05-2018,Oct-05-2018,,,persons,45,,mobile clinic patients
PMI,,Red Cross/Red Crescent,Sigi,Sirenja,Jono Oge,Jono Oge,WASH,WASH,Completed,Distribution,Oct-08-2018,Oct-08-2018,,,litres,5000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Sigi,Sirenja,Jono Oge,Jono Oge,WASH,WASH,Completed,Distribution,Oct-12-2018,Oct-12-2018,,,litres,7000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Sigi,Sirenja,Jono Oge,Posko 1 & 2,WASH,WASH,Completed,Distribution,Oct-12-2018,Oct-12-2018,,,litres,18000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Sigi,Sirenja,Jono Oge,Jono Oge,WASH,WASH,Completed,Distribution,Oct-13-2018,Oct-13-2018,,,litres,10000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Sigi,Sirenja,Jono Oge,Jono Oge,WASH,WASH,Completed,Distribution,Oct-14-2018,Oct-14-2018,,,litres,5000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Sigi,Sirenja,Jono Oge,Jono Oge,WASH,WASH,Completed,Distribution,Oct-15-2018,Oct-15-2018,,,litres,5000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Sigi,Sirenja,Jono Oge,Jono Oge,WASH,WASH,Completed,Distribution,Oct-18-2018,Oct-18-2018,,,litres,5000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Palu,Tanambulava,Sibalaya Utara,Sibalaya Utara,WASH,WASH,Completed,Distribution,Oct-21-2018,Oct-21-2018,,,litres,8000,,clean water (litres)
PMI,,Red Cross/Red Crescent,Sigi,Tanambulava,Sibalaya,Lokasi Pengungsian,Health,Health,Completed,Distribution,Oct-05-2018,Oct-05-2018,,,items,2,,body bag
PMI,,Red Cross/Red Crescent,Sigi,Tanambulava,Sibalaya,Kantor Camat,Health,Health,Completed,Mobile clinic,Oct-04-2018,Oct-04-2018,,,persons,60,,mobile clinic patients
